,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
2984,우남이채롬,2006,84.91,8, 남산동,금단로,00113,9,"    29,500",2022.5.12
2985,남산미네르빌,2003,60.497,9, 남산동,중앙대로,02086,51-5,"    15,800",2022.5.14
2986,경원A동,2000,83.023,9, 남산동,범어천로28번길,00011,84-7,"    23,000",2022.5.18
2987,현대그레이스,1994,84.16,16, 남산동,벅구산로,00025,374-68,"    16,000",2022.5.18
2988,석산2차,1990,68.9,5, 남산동,금강로709번길,00009,976-1,"    14,900",2022.5.19
2989,해성체르니아파트2차,2007,83.83,2, 남산동,금샘로578번길,00050,680-14,"    20,000",2022.5.21
2990,미화,1992,84.38,6, 남산동,금단로,00156,265-37,"    17,900",2022.5.22
2991,석산8차,1991,60.42,4, 남산동,팔송로45번길,00012,967-8,"    15,100",2022.5.24
2992,남도그린파크,1995,58.95,2, 남산동,청룡로53번길,00045,707,"    12,000",2022.5.27
2993,동보5차,2002,81.66,2, 남산동,팔송로53번길,00099,984-3,"    19,000",2022.5.31
2994,동일,1986,64.71,4, 구서동,구서중앙로40번길,00048,735-1,"    19,500",2022.5.2
2995,명진,1987,61.065,2, 구서동,안뜰로19번길,00017,936-18,"    20,800",2022.5.2
2996,영화맨션,1991,84.24,5, 구서동,안뜰로,00016,198-3,"    34,100",2022.5.2
2997,삼화빌라,1992,84,4, 구서동,안뜰로,00017,199-8,"    41,626",2022.5.2
2998,휴림아르페,2019,75.8249,19, 구서동,구서온천천로,00075,444-2,"    30,800",2022.5.3
2999,휴림아르페,2019,75.8249,19, 구서동,구서온천천로,00075,444-2,"    30,800",2022.5.3
3000,일신,1990,84.75,3, 구서동,두실로45번길,00102,1025,"    24,500",2022.5.4
3001,명승명가,2006,84.87,4, 구서동,두실로,00005,162-1,"    21,900",2022.5.4
3002,구서동롯데캐슬골드2단지(1049),2006,84.98,7, 구서동,금강로,00503,1049,"    60,000",2022.5.4
3003,스카이엘,2019,56.9888,7, 구서동,금정로231번길,00004,415-16,"    24,500",2022.5.6
